Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,0.5,81.25,760.0,2311.0
2014-02-19,,,,,0.75,80.5,487.0,2344.0
2014-02-20,,,,,0.1,80.4,393.0,2344.0
2014-02-21,,,,,,80.4,69.0,2299.0
2014-02-24,,,,,0.35,80.05,235.0,2288.0
2014-02-25,,,,,0.2,79.85,229.0,2312.0
2014-02-26,,,,,0.45,79.4,220.0,2371.0
2014-02-27,,,,,0.55,79.95,255.0,2367.0
2014-02-28,,,,,0.3,80.25,280.0,2372.0
2014-03-03,,,,,1.25,81.5,435.0,2449.0
2014-03-04,,,,,0.5,81.0,205.0,2487.0
2014-03-06,,,,,0.1,80.45,110.0,2484.0
2014-03-07,,,,,0.25,80.7,127.0,2459.0
2014-03-10,,,,,0.65,80.05,160.0,2457.0
2014-03-11,,,,,0.3,80.35,230.0,2444.0
2014-03-12,,,,,0.1,80.45,210.0,2478.0
2014-03-13,,,,,0.05,80.5,340.0,2479.0
2014-03-14,,,,,0.55,81.05,285.0,2489.0
2014-03-17,,,,,0.2,81.25,240.0,2529.0
2014-03-18,,,,,0.25,81.0,200.0,2394.0
2014-03-19,,,,,0.2,80.8,125.0,2409.0
2014-03-20,,,,,0.25,80.55,110.0,2439.0
2014-03-21,,,,,0.6,81.15,165.0,2434.0
2014-03-24,,,,,0.4,80.75,135.0,2444.0
2014-03-25,,,,,0.4,80.35,285.0,2439.0
2014-03-26,,,,,0.55,79.8,240.0,2467.0
2014-03-27,,,,,0.3,80.1,170.0,2507.0
2014-03-28,,,,,0.1,80.2,90.0,2537.0
2014-03-31,,,,,0.2,80.4,75.0,2522.0
2014-04-01,,,,,0.5,79.9,135.0,2507.0
2014-04-02,,,,,0.2,79.7,230.0,2542.0
2014-04-03,,,,,,79.7,240.0,2497.0
2014-04-04,,,,,0.3,79.4,135.0,2402.0
2014-04-07,,,,,0.6,80.0,235.0,2393.0
2014-04-08,,,,,0.25,79.75,195.0,2397.0
2014-04-09,,,,,0.2,79.95,130.0,2432.0
2014-04-10,,,,,0.55,80.5,262.0,2432.0
2014-04-11,,,,,0.15,80.65,120.0,2507.0
2014-04-14,,,,,0.4,81.05,230.0,2502.0
2014-04-15,,,,,0.65,81.7,760.0,2517.0
2014-04-16,,,,,0.4,82.1,528.0,2482.0
2014-04-17,,,,,0.65,81.45,235.0,2465.0
2014-04-21,,,,,,81.45,0.0,2495.0
2014-04-22,,,,,0.55,80.9,325.0,2495.0
2014-04-23,,,,,0.25,81.15,210.0,2560.0
2014-04-24,,,,,0.7,81.85,480.0,2555.0
2014-04-25,,,,,0.55,82.4,365.0,2550.0
2014-04-28,,,,,0.75,83.15,641.0,2545.0
2014-04-29,,,,,0.2,82.95,335.0,2542.0
2014-04-30,,,,,0.8,82.15,525.0,2517.0
2014-05-01,,,,,0.3,81.85,250.0,2500.0
2014-05-02,,,,,0.5,82.35,240.0,2532.0
2014-05-05,,,,,,82.35,0.0,2527.0
2014-05-06,,,,,0.15,82.5,225.0,2527.0
2014-05-07,,,,,0.75,81.75,382.0,2507.0
2014-05-08,,,,,0.05,81.7,474.0,2589.0
2014-05-09,,,,,0.15,81.85,130.0,2524.0
2014-05-12,,,,,0.3,82.15,150.0,2524.0
2014-05-13,,,,,0.15,82.3,205.0,2539.0
2014-05-14,,,,,0.1,82.4,280.0,2544.0
2014-05-15,,,,,0.1,82.5,303.0,2584.0
2014-05-16,,,,,0.15,82.35,55.0,2667.0
2014-05-19,,,,,0.3,82.05,15.0,2637.0
2014-05-20,,,,,0.1,81.95,150.0,2632.0
2014-05-21,,,,,0.15,82.1,25.0,2652.0
2014-05-22,,,,,0.1,82.2,190.0,2657.0
2014-05-23,,,,,0.1,82.3,170.0,2662.0
2014-05-27,,,,,0.4,81.9,135.0,2657.0
2014-05-28,,,,,0.35,81.55,285.0,2672.0
2014-05-29,,,,,0.2,81.35,170.0,2767.0
2014-05-30,,,,,0.7,80.65,233.0,2782.0
2014-06-02,,,,,0.55,80.1,255.0,2754.0
2014-06-03,,,,,0.1,80.2,265.0,2839.0
2014-06-04,,,,,0.4,79.8,315.0,2909.0
2014-06-05,,,,,0.35,79.45,425.0,2939.0
2014-06-06,,,,,0.65,78.8,400.0,2994.0
2014-06-09,,,,,,78.8,145.0,3029.0
2014-06-10,,,,,0.05,78.75,455.0,3059.0
2014-06-11,,,,,0.1,78.65,355.0,3044.0
2014-06-12,,,,,0.05,78.7,220.0,3079.0
2014-06-13,,,,,0.5,79.2,305.0,3124.0
2014-06-16,,,,,0.05,79.25,530.0,3084.0
2014-06-17,,,,,0.45,78.8,345.0,3064.0
2014-06-18,,,,,0.45,78.35,430.0,3034.0
2014-06-19,,,,,0.15,78.2,439.0,3134.0
2014-06-20,,,,,0.3,77.9,150.0,2970.0
2014-06-23,,,,,0.15,77.75,215.0,3000.0
2014-06-24,,,,,0.3,78.05,290.0,2981.0
2014-06-25,,,,,0.35,78.4,350.0,3005.0
2014-06-26,,,,,0.4,78.0,390.0,3040.0
2014-06-27,,,,,0.1,78.1,100.0,3116.0
2014-06-30,,,,,0.05,78.05,158.0,3086.0
2014-07-01,,,,,0.2,77.85,290.0,3071.0
2014-07-02,,,,,0.35,77.5,370.0,3106.0
2014-07-03,,,,,0.35,77.15,340.0,3211.0
2014-07-07,,,,,0.35,77.5,180.0,3171.0
2014-07-08,,,,,,77.5,155.0,3141.0
2014-07-09,,,,,0.3,77.2,175.0,3116.0
2014-07-10,,,,,0.05,77.15,135.0,3116.0
2014-07-11,,,,,0.35,76.8,230.0,3136.0
2014-07-14,,,,,0.4,77.2,175.0,3106.0
2014-07-15,,,,,0.2,77.0,230.0,3141.0
2014-07-16,,,,,0.55,76.45,225.0,3116.0
2014-07-17,,,,,0.9,77.35,465.0,3066.0
2014-07-18,,,,,0.15,77.2,230.0,3126.0
2014-07-21,,,,,0.1,77.3,335.0,3216.0
2014-07-22,,,,,0.7,78.0,525.0,3261.0
2014-07-23,,,,,0.4,78.4,455.0,3111.0
2014-07-24,,,,,0.15,78.55,260.0,3141.0
2014-07-25,,,,,0.35,78.9,295.0,3131.0
2014-07-28,,,,,0.75,79.65,390.0,3101.0
2014-07-29,,,,,1.15,78.5,378.0,3062.0
2014-07-30,,,,,0.55,77.95,312.0,3181.0
2014-07-31,,,,,0.25,77.7,230.0,3201.0
2014-08-01,,,,,,77.7,150.0,3261.0
2014-08-04,,,,,0.1,77.8,125.0,3271.0
2014-08-05,,,,,0.6,78.4,130.0,3276.0
2014-08-06,,,,,0.15,78.55,185.0,3306.0
2014-08-07,,,,,0.55,79.1,295.0,3311.0
2014-08-08,,,,,0.6,79.7,298.0,3367.0
2014-08-11,,,,,0.4,79.3,239.0,3310.0
2014-08-12,,,,,0.55,78.75,230.0,3334.0
2014-08-13,,,,,0.45,79.2,145.0,3320.0
2014-08-14,,,,,0.2,79.0,435.0,3309.0
2014-08-15,,,,,0.35,79.35,282.0,3381.0
2014-08-18,,,,,0.8,78.55,75.0,3396.0
2014-08-19,,,,,0.05,78.5,135.0,3401.0
2014-08-20,,,,,0.1,78.4,190.0,3416.0
2014-08-21,,,,,0.35,78.75,230.0,3436.0
2014-08-22,,,,,0.15,78.9,25.0,3446.0
2014-08-25,,,,,,78.9,0.0,3441.0
2014-08-26,,,,,0.3,78.6,105.0,3441.0
2014-08-27,,,,,0.65,77.95,225.0,3456.0
2014-08-28,,,,,0.35,78.3,140.0,3518.0
2014-08-29,,,,,0.25,78.05,220.0,3549.0
2014-09-02,,,,,0.45,77.6,399.0,3525.0
2014-09-03,,,,,0.05,77.65,270.0,3493.0
2014-09-04,,,,,0.55,77.1,390.0,3513.0
2014-09-05,,,,,0.2,76.9,180.0,3547.0
2014-09-08,,,,,0.25,77.15,270.0,3537.0
2014-09-09,,,,,0.55,76.6,270.0,3476.0
2014-09-10,,,,,0.1,76.7,345.0,3491.0
2014-09-11,,,,,0.05,76.75,350.0,3451.0
2014-09-12,,,,,,76.75,181.0,3432.0
2014-09-15,,,,,0.25,76.5,253.0,3416.0
2014-09-16,,,,,0.5,76.0,588.0,3386.0
2014-09-17,,,,,0.4,75.6,490.0,3390.0
2014-09-18,,,,,0.05,75.65,309.0,3435.0
2014-09-19,,,,,0.05,75.6,76.0,3527.0
2014-09-22,,,,,0.4,75.2,273.0,3511.0
2014-09-23,,,,,0.45,74.75,515.0,3611.0
2014-09-24,,,,,0.1,74.65,238.0,3551.0
2014-09-25,,,,,0.35,74.3,320.0,3536.0
2014-09-26,,,,,0.15,74.15,275.0,3547.0
2014-09-29,,,,,0.85,73.3,307.0,3537.0
2014-09-30,,,,,0.15,73.15,727.0,3530.0
2014-10-01,,,,,0.25,73.4,230.0,3497.0
2014-10-02,,,,,0.4,73.8,400.0,3522.0
2014-10-03,,,,,1.05,72.75,450.0,3509.0
2014-10-06,,,,,0.15,72.6,317.0,3632.0
2014-10-07,,,,,0.2,72.8,300.0,3616.0
2014-10-08,,,,,0.05,72.75,340.0,3596.0
2014-10-09,,,,,0.45,72.3,330.0,3504.0
2014-10-10,,,,,0.7,71.6,467.0,3556.0
2014-10-13,,,,,0.3,71.3,325.0,3521.0
2014-10-14,,,,,0.4,70.9,337.0,3550.0
2014-10-15,,,,,0.5,71.4,755.0,3535.0
2014-10-16,,,,,0.5,70.9,673.0,3498.0
2014-10-17,,,,,0.15,70.75,260.0,3531.0
2014-10-20,,,,,0.05,70.7,440.0,3498.0
2014-10-21,,,,,0.15,70.85,285.0,3602.0
2014-10-22,,,,,1.2,72.05,615.0,3572.0
2014-10-23,,,,,0.25,71.8,365.0,3595.0
2014-10-24,,,,,0.05,71.75,115.0,3566.0
2014-10-27,,,,,0.05,71.8,120.0,3536.0
2014-10-28,,,,,,71.8,295.0,3541.0
2014-10-29,,,,,0.1,71.9,280.0,3581.0
2014-10-30,,,,,0.45,71.45,475.0,3588.0
2014-10-31,,,,,0.65,70.8,440.0,3528.0
2014-11-03,,,,,0.5,70.3,342.0,3673.0
2014-11-04,,,,,0.8,69.5,733.0,3788.0
2014-11-05,,,,,0.15,69.35,472.0,3879.0
2014-11-06,,,,,0.45,68.9,435.0,3844.0
2014-11-07,,,,,0.9,69.8,457.0,3834.0
2014-11-10,,,,,0.65,70.45,510.0,3939.0
2014-11-11,,,,,0.35,70.8,335.0,3864.0
2014-11-12,,,,,0.1,70.7,420.0,3799.0
2014-11-13,,,,,0.1,70.6,290.0,3684.0
2014-11-14,,,,,0.05,70.55,905.0,3664.0
2014-11-17,,,,,0.55,71.1,200.0,3659.0
2014-11-18,,,,,0.4,71.5,430.0,3719.0
2014-11-19,,,,,0.05,71.55,655.0,3859.0
2014-11-20,,,,,0.2,71.35,315.0,3794.0
2014-11-21,,,,,0.35,71.7,260.0,3794.0
2014-11-24,,,,,0.4,72.1,287.0,3804.0
2014-11-25,,,,,0.25,72.35,245.0,3797.0
2014-11-26,,,,,0.15,72.2,300.0,3787.0
2014-11-28,,,,,1.05,71.15,720.0,3775.0
2014-12-01,,,,,0.65,70.5,375.0,3630.0
2014-12-02,,,,,0.5,70.0,355.0,3606.0
2014-12-03,,,,,0.35,69.65,310.0,3521.0
2014-12-04,,,,,0.2,69.85,411.0,3491.0
2014-12-05,,,,,0.1,69.75,130.0,3496.0
