Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-07-22,,,,,0.0,59.25,5.0,0.0
2015-07-23,,,,,0.35,58.9,0.0,5.0
2015-07-24,,,,,,58.9,0.0,5.0
2015-07-27,,,,,0.25,58.65,0.0,5.0
2015-07-28,,,,,0.25,58.4,0.0,5.0
2015-07-29,,,,,,58.4,0.0,5.0
2015-07-30,,,,,0.15,58.25,0.0,5.0
2015-07-31,,,,,0.75,57.5,0.0,5.0
2015-08-03,,,,,0.4,57.1,0.0,5.0
2015-08-04,,,,,0.55,57.65,0.0,5.0
2015-08-05,,,,,0.4,57.25,15.0,5.0
2015-08-06,,,,,,57.25,0.0,0.0
2015-08-07,,,,,1.15,56.1,0.0,0.0
2015-08-10,,,,,0.15,56.25,0.0,0.0
2015-08-11,,,,,0.1,56.15,0.0,0.0
2015-08-12,,,,,0.3,55.85,0.0,0.0
2015-08-13,,,,,0.05,55.9,0.0,0.0
2015-08-14,,,,,0.15,55.75,0.0,0.0
2015-08-17,,,,,0.25,55.5,5.0,0.0
2015-08-18,,,,,0.8,54.7,10.0,5.0
2015-08-19,,,,,0.25,54.45,0.0,5.0
2015-08-20,,,,,0.25,54.2,0.0,5.0
2015-08-21,,,,,0.1,54.1,0.0,5.0
2015-08-24,,,,,0.8,53.3,0.0,5.0
2015-08-25,,,,,0.15,53.45,0.0,5.0
2015-08-26,,,,,0.3,53.75,0.0,5.0
2015-08-27,,,,,0.8,54.55,0.0,5.0
2015-08-28,,,,,0.2,54.75,0.0,5.0
2015-08-31,,,,,,54.75,0.0,5.0
2015-09-01,,,,,0.3,54.45,0.0,5.0
2015-09-02,,,,,0.2,54.25,0.0,5.0
2015-09-03,,,,,0.5,54.75,0.0,5.0
2015-09-04,,,,,0.95,53.8,0.0,5.0
2015-09-08,,,,,0.65,53.15,0.0,5.0
2015-09-09,,,,,0.3,52.85,0.0,5.0
2015-09-10,,,,,0.45,53.3,0.0,5.0
