Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.44,0.0,0.0
2014-11-21,,,,,0.87,81.31,0.0,0.0
2014-11-24,,,,,0.29,81.02,0.0,0.0
2014-11-25,,,,,0.41,80.61,0.0,0.0
2014-11-26,,,,,0.48,81.09,0.0,0.0
2014-11-28,,,,,2.94,78.15,0.0,0.0
2014-12-01,,,,,1.78,79.93,0.0,0.0
2014-12-02,,,,,1.23,78.7,0.0,0.0
2014-12-03,,,,,0.14,78.56,0.0,0.0
2014-12-04,,,,,1.92,76.64,0.0,0.0
2014-12-05,,,,,1.69,74.95,0.0,0.0
2014-12-08,,,,,2.19,72.76,0.0,0.0
2014-12-09,,,,,0.09,72.85,0.0,0.0
2014-12-10,,,,,1.44,71.41,0.0,0.0
2014-12-11,,,,,0.15,71.26,0.0,0.0
2014-12-12,,,,,1.94,69.32,0.0,0.0
2014-12-15,,,,,1.55,67.77,0.0,0.0
2014-12-16,,,,,1.11,66.66,0.0,0.0
2014-12-17,,,,,0.29,66.95,0.0,0.0
2014-12-18,,,,,0.9,67.85,0.0,0.0
2014-12-19,,,,,2.88,70.73,0.0,0.0
2014-12-22,,,,,0.17,70.56,0.0,0.0
2014-12-23,,,,,1.26,71.82,0.0,0.0
2014-12-24,,,,,0.21,72.03,0.0,0.0
2014-12-26,,,,,0.37,71.66,0.0,0.0
2014-12-29,,,,,0.68,70.98,0.0,0.0
2014-12-30,,,,,0.07,70.91,0.0,0.0
2014-12-31,,,,,0.09,70.82,0.0,0.0
2015-01-02,,,,,0.5,70.32,0.0,0.0
2015-01-05,,,,,1.33,68.99,0.0,0.0
2015-01-06,,,,,1.76,67.23,0.0,0.0
2015-01-07,,,,,0.64,66.59,0.0,0.0
2015-01-08,,,,,0.02,66.61,0.0,0.0
2015-01-09,,,,,1.32,67.93,0.0,0.0
2015-01-12,,,,,0.7,67.23,0.0,0.0
2015-01-13,,,,,0.78,68.01,0.0,0.0
2015-01-14,,,,,0.49,68.5,0.0,0.0
2015-01-15,,,,,2.35,66.15,0.0,0.0
2015-01-16,,,,,1.21,67.36,0.0,0.0
2015-01-20,,,,,1.44,65.92,0.0,0.0
2015-01-21,,,,,0.45,66.37,0.0,0.0
2015-01-22,,,,,0.6,65.77,0.0,0.0
2015-01-23,,,,,0.43,66.2,0.0,0.0
2015-01-26,,,,,0.25,65.95,0.0,0.0
2015-01-27,,,,,1.05,67.0,0.0,0.0
2015-01-28,,,,,0.64,66.36,0.0,0.0
2015-01-29,,,,,1.06,67.42,0.0,0.0
2015-01-30,,,,,2.25,69.67,0.0,0.0
2015-02-02,,,,,0.54,70.21,0.0,0.0
2015-02-03,,,,,1.34,71.55,0.0,0.0
2015-02-04,,,,,1.64,69.91,0.0,0.0
2015-02-05,,,,,0.9,70.81,0.0,0.0
2015-02-06,,,,,0.65,70.16,0.0,0.0
2015-02-09,,,,,0.42,70.58,0.0,0.0
2015-02-10,,,,,0.63,69.95,0.0,0.0
2015-02-11,,,,,0.27,70.22,0.0,0.0
2015-02-12,,,,,1.12,71.34,0.0,0.0
2015-02-13,,,,,0.94,70.4,0.0,0.0
2015-02-17,,,,,0.36,70.04,0.0,0.0
2015-02-18,,,,,0.23,69.81,0.0,0.0
2015-02-19,,,,,0.52,69.29,0.0,0.0
2015-02-20,,,,,1.13,70.42,0.0,0.0
2015-02-23,,,,,0.17,70.25,0.0,0.0
2015-02-24,,,,,0.52,70.77,0.0,0.0
2015-02-25,,,,,0.62,71.39,0.0,0.0
2015-02-26,,,,,0.31,71.08,0.0,0.0
2015-02-27,,,,,0.04,71.04,0.0,0.0
2015-03-02,,,,,0.41,70.63,0.0,0.0
2015-03-03,,,,,0.53,71.16,0.0,0.0
2015-03-04,,,,,1.22,69.94,0.0,0.0
2015-03-05,,,,,0.5,69.44,0.0,0.0
2015-03-06,,,,,0.72,68.72,0.0,0.0
2015-03-09,,,,,0.52,68.2,0.0,0.0
2015-03-10,,,,,0.52,67.68,0.0,0.0
2015-03-11,,,,,0.2,67.88,0.0,0.0
2015-03-12,,,,,0.52,67.36,0.0,0.0
2015-03-13,,,,,0.5,66.86,0.0,0.0
2015-03-16,,,,,0.53,67.39,0.0,0.0
2015-03-17,,,,,0.69,66.7,0.0,0.0
2015-03-18,,,,,1.28,67.98,0.0,0.0
2015-03-19,,,,,0.86,67.12,0.0,0.0
2015-03-20,,,,,0.53,67.65,0.0,0.0
2015-03-23,,,,,0.16,67.81,0.0,0.0
2015-03-24,,,,,0.67,67.14,0.0,0.0
2015-03-25,,,,,0.01,67.13,0.0,0.0
2015-03-26,,,,,0.18,66.95,0.0,0.0
2015-03-27,,,,,1.44,65.51,0.0,0.0
2015-03-30,,,,,0.54,66.05,0.0,0.0
2015-03-31,,,,,0.56,65.49,0.0,0.0
2015-04-01,,,,,0.63,66.12,0.0,0.0
2015-04-02,,,,,0.69,65.43,0.0,0.0
2015-04-06,,,,,0.19,65.62,0.0,0.0
2015-04-07,,,,,0.91,64.71,0.0,0.0
2015-04-08,,,,,1.1,63.61,0.0,0.0
2015-04-09,,,,,1.16,64.77,0.0,0.0
2015-04-10,,,,,0.47,65.24,0.0,0.0
