Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,0.6,79.15,210.0,4402.0
2014-02-19,,,,,0.75,78.4,235.0,4432.0
2014-02-20,,,,,0.2,78.2,95.0,4432.0
2014-02-21,,,,,0.05,78.25,80.0,4412.0
2014-02-24,,,,,0.45,77.8,295.0,4447.0
2014-02-25,,,,,0.15,77.65,255.0,4332.0
2014-02-26,,,,,0.35,77.3,290.0,4277.0
2014-02-27,,,,,0.4,77.7,55.0,4237.0
2014-02-28,,,,,0.4,78.1,150.0,4267.0
2014-03-03,,,,,1.2,79.3,150.0,4282.0
2014-03-04,,,,,0.6,78.7,95.0,4322.0
2014-03-06,,,,,0.1,78.35,170.0,4277.0
2014-03-07,,,,,0.3,78.65,170.0,4197.0
2014-03-10,,,,,0.65,78.0,280.0,4207.0
2014-03-11,,,,,0.3,78.3,160.0,4177.0
2014-03-12,,,,,0.1,78.4,145.0,4097.0
2014-03-13,,,,,0.1,78.5,90.0,4182.0
2014-03-14,,,,,0.45,78.95,140.0,4157.0
2014-03-17,,,,,0.3,79.25,155.0,4162.0
2014-03-18,,,,,0.35,78.9,105.0,4127.0
2014-03-19,,,,,0.25,78.65,185.0,4102.0
2014-03-20,,,,,0.25,78.4,160.0,4032.0
2014-03-21,,,,,0.4,78.8,80.0,3992.0
2014-03-24,,,,,0.35,78.45,235.0,3972.0
2014-03-25,,,,,0.45,78.0,400.0,3977.0
2014-03-26,,,,,0.45,77.55,230.0,3992.0
2014-03-27,,,,,0.25,77.8,325.0,3967.0
2014-03-28,,,,,0.1,77.9,100.0,4067.0
2014-03-31,,,,,0.2,78.1,60.0,4082.0
2014-04-01,,,,,0.4,77.7,20.0,4097.0
2014-04-02,,,,,0.3,77.4,550.0,4112.0
2014-04-03,,,,,0.05,77.35,95.0,3992.0
2014-04-04,,,,,0.4,76.95,85.0,4007.0
2014-04-07,,,,,0.55,77.5,138.0,4002.0
2014-04-08,,,,,0.3,77.2,263.0,4007.0
2014-04-09,,,,,0.15,77.35,250.0,4042.0
2014-04-10,,,,,0.6,77.95,110.0,3937.0
2014-04-11,,,,,0.2,78.15,25.0,3902.0
2014-04-14,,,,,0.4,78.55,150.0,3907.0
2014-04-15,,,,,0.7,79.25,525.0,3897.0
2014-04-16,,,,,0.5,79.75,165.0,3789.0
2014-04-17,,,,,0.6,79.15,85.0,3785.0
