Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-20,,,,,0.0,56.87,0.0,0.0
2015-11-23,,,,,0.29,57.16,0.0,0.0
2015-11-24,,,,,1.26,58.42,0.0,0.0
2015-11-25,,,,,0.03,58.39,0.0,0.0
2015-11-27,,,,,0.52,57.87,0.0,0.0
2015-11-30,,,,,0.21,57.66,0.0,0.0
2015-12-01,,,,,0.08,57.58,0.0,0.0
2015-12-02,,,,,0.28,57.3,0.0,0.0
2015-12-03,,,,,0.6,57.9,0.0,0.0
2015-12-04,,,,,0.03,57.87,0.0,0.0
2015-12-07,,,,,0.25,57.62,0.0,0.0
2015-12-08,,,,,0.07,57.55,0.0,0.0
2015-12-09,,,,,0.1,57.45,0.0,0.0
2015-12-10,,,,,0.2,57.65,0.0,0.0
2015-12-11,,,,,0.7,56.95,0.0,0.0
2015-12-14,,,,,1.16,55.79,0.0,0.0
2015-12-15,,,,,0.07,55.86,0.0,0.0
2015-12-16,,,,,0.39,55.47,0.0,0.0
2015-12-17,,,,,0.18,55.29,0.0,0.0
2015-12-18,,,,,0.29,55.0,0.0,0.0
2015-12-21,,,,,0.68,54.32,0.0,0.0
2015-12-22,,,,,0.88,53.44,0.0,0.0
2015-12-23,,,,,0.12,53.56,0.0,0.0
2015-12-24,,,,,0.94,54.5,0.0,0.0
2015-12-28,,,,,0.38,54.12,0.0,0.0
2015-12-29,,,,,0.73,54.85,0.0,0.0
2015-12-30,,,,,0.67,54.18,0.0,0.0
2015-12-31,,,,,0.55,54.73,0.0,0.0
2016-01-04,,,,,0.17,54.56,0.0,0.0
2016-01-05,,,,,0.51,54.05,0.0,0.0
2016-01-06,,,,,1.17,52.88,0.0,0.0
2016-01-07,,,,,0.93,51.95,0.0,0.0
2016-01-08,,,,,0.08,51.87,0.0,0.0
2016-01-11,,,,,1.23,50.64,0.0,0.0
2016-01-12,,,,,1.23,49.41,0.0,0.0
2016-01-13,,,,,1.0,48.41,0.0,0.0
2016-01-14,,,,,0.52,48.93,0.0,0.0
2016-01-15,,,,,2.29,46.64,0.0,0.0
2016-01-19,,,,,1.25,45.39,0.0,0.0
2016-01-20,,,,,0.46,44.93,0.0,0.0
2016-01-21,,,,,0.38,45.31,0.0,0.0
2016-01-22,,,,,1.98,47.29,0.0,0.0
2016-01-25,,,,,0.25,47.54,0.0,0.0
2016-01-26,,,,,0.79,48.33,0.0,0.0
2016-01-27,,,,,0.59,48.92,0.0,0.0
2016-01-28,,,,,0.51,49.43,0.0,0.0
2016-01-29,,,,,0.96,50.39,0.0,0.0
2016-02-01,,,,,1.28,49.11,0.0,0.0
2016-02-02,,,,,0.73,48.38,0.0,0.0
2016-02-03,,,,,0.85,49.23,0.0,0.0
2016-02-04,,,,,0.46,49.69,0.0,0.0
2016-02-05,,,,,0.09,49.6,0.0,0.0
2016-02-08,,,,,0.38,49.22,0.0,0.0
2016-02-09,,,,,2.43,46.79,0.0,0.0
2016-02-10,,,,,0.41,47.2,0.0,0.0
2016-02-11,,,,,0.04,47.24,0.0,0.0
2016-02-12,,,,,2.47,49.71,0.0,0.0
2016-02-16,,,,,1.17,48.54,0.0,0.0
2016-02-17,,,,,0.85,49.39,0.0,0.0
2016-02-18,,,,,0.51,48.88,0.0,0.0
2016-02-19,,,,,0.95,47.93,0.0,0.0
2016-02-22,,,,,0.97,48.9,0.0,0.0
2016-02-23,,,,,1.09,47.81,0.0,0.0
2016-02-24,,,,,0.29,48.1,0.0,0.0
2016-02-25,,,,,0.25,48.35,0.0,0.0
2016-02-26,,,,,0.93,47.42,0.0,0.0
2016-02-29,,,,,1.05,48.47,0.0,0.0
2016-03-01,,,,,0.23,48.7,0.0,0.0
2016-03-02,,,,,0.22,48.48,0.0,0.0
2016-03-03,,,,,0.23,48.25,0.0,0.0
2016-03-04,,,,,0.67,48.92,0.0,0.0
2016-03-07,,,,,1.1,50.02,0.0,0.0
2016-03-08,,,,,0.87,49.15,0.0,0.0
2016-03-09,,,,,0.92,50.07,0.0,0.0
2016-03-10,,,,,0.28,49.79,0.0,0.0
2016-03-11,,,,,0.32,50.11,0.0,0.0
2016-03-14,,,,,0.8,49.31,0.0,0.0
2016-03-15,,,,,0.11,49.2,0.0,0.0
2016-03-16,,,,,0.59,49.79,0.0,0.0
2016-03-17,,,,,0.02,49.81,0.0,0.0
2016-03-18,,,,,0.28,50.09,0.0,0.0
2016-03-21,,,,,0.25,50.34,0.0,0.0
2016-03-22,,,,,0.18,50.52,0.0,0.0
2016-03-23,,,,,0.4,50.12,0.0,0.0
2016-03-24,,,,,0.33,49.79,0.0,0.0
2016-03-28,,,,,0.06,49.73,0.0,0.0
2016-03-29,,,,,0.1,49.83,0.0,0.0
2016-03-30,,,,,0.7,50.53,0.0,0.0
2016-03-31,,,,,0.37,50.9,0.0,0.0
2016-04-01,,,,,1.13,49.77,0.0,0.0
2016-04-04,,,,,0.85,48.92,0.0,0.0
2016-04-05,,,,,0.39,48.53,0.0,0.0
2016-04-06,,,,,1.09,49.62,0.0,0.0
