Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-11-22,,,,,0.0,56.59,0.0,0.0
2016-11-23,,,,,0.27,56.32,0.0,0.0
2016-11-25,,,,,1.34,54.98,0.0,0.0
2016-11-28,,,,,0.55,55.53,0.0,0.0
2016-11-29,,,,,1.34,54.19,0.0,0.0
2016-11-30,,,,,1.8,55.99,0.0,0.0
2016-12-01,,,,,0.23,55.76,0.0,0.0
2016-12-02,,,,,0.73,56.49,0.0,0.0
2016-12-05,,,,,0.22,56.71,0.0,0.0
2016-12-06,,,,,0.51,56.2,0.0,0.0
2016-12-07,,,,,0.47,55.73,0.0,0.0
2016-12-08,,,,,0.08,55.81,0.0,0.0
2016-12-09,,,,,0.3,56.11,0.0,0.0
2016-12-12,,,,,0.38,55.73,0.0,0.0
2016-12-13,,,,,0.12,55.85,0.0,0.0
2016-12-14,,,,,0.81,55.04,0.0,0.0
2016-12-15,,,,,0.28,54.76,0.0,0.0
2016-12-16,,,,,0.4,55.16,0.0,0.0
2016-12-19,,,,,0.18,55.34,0.0,0.0
2016-12-20,,,,,0.54,55.88,0.0,0.0
2016-12-21,,,,,0.77,55.11,0.0,0.0
2016-12-22,,,,,0.04,55.15,0.0,0.0
2016-12-23,,,,,0.27,55.42,0.0,0.0
2016-12-27,,,,,0.52,55.94,0.0,0.0
2016-12-28,,,,,0.18,56.12,0.0,0.0
2016-12-29,,,,,0.15,56.27,0.0,0.0
2016-12-30,,,,,0.09,56.36,0.0,0.0
2017-01-03,,,,,0.88,55.48,0.0,0.0
2017-01-04,,,,,1.15,56.63,0.0,0.0
2017-01-05,,,,,0.57,57.2,0.0,0.0
2017-01-06,,,,,0.14,57.34,0.0,0.0
2017-01-09,,,,,1.09,56.25,0.0,0.0
2017-01-10,,,,,0.37,55.88,0.0,0.0
2017-01-11,,,,,0.84,56.72,0.0,0.0
2017-01-12,,,,,0.35,57.07,0.0,0.0
2017-01-13,,,,,0.46,56.61,0.0,0.0
2017-01-17,,,,,0.38,56.23,0.0,0.0
2017-01-18,,,,,0.53,55.7,0.0,0.0
2017-01-19,,,,,0.2,55.9,0.0,0.0
2017-01-20,,,,,0.77,56.67,0.0,0.0
2017-01-23,,,,,0.37,56.3,0.0,0.0
2017-01-24,,,,,0.23,56.53,0.0,0.0
2017-01-25,,,,,0.27,56.26,0.0,0.0
2017-01-26,,,,,0.33,56.59,0.0,0.0
2017-01-27,,,,,0.64,55.95,0.0,0.0
2017-01-30,,,,,0.12,55.83,0.0,0.0
2017-01-31,,,,,0.18,56.01,0.0,0.0
2017-02-01,,,,,0.66,56.67,0.0,0.0
2017-02-02,,,,,0.29,56.38,0.0,0.0
2017-02-03,,,,,0.32,56.7,0.0,0.0
2017-02-06,,,,,0.29,56.41,0.0,0.0
2017-02-07,,,,,0.64,55.77,0.0,0.0
2017-02-08,,,,,0.09,55.68,0.0,0.0
2017-02-09,,,,,0.04,55.72,0.0,0.0
2017-02-10,,,,,0.1,55.82,0.0,0.0
2017-02-13,,,,,0.54,55.28,0.0,0.0
2017-02-14,,,,,0.08,55.2,0.0,0.0
2017-02-15,,,,,0.5,54.7,0.0,0.0
2017-02-16,,,,,0.18,54.52,0.0,0.0
2017-02-17,,,,,0.23,54.29,0.0,0.0
2017-02-21,,,,,0.72,53.57,0.0,0.0
2017-02-22,,,,,0.44,53.13,0.0,0.0
2017-02-23,,,,,0.49,53.62,0.0,0.0
2017-02-24,,,,,0.22,53.4,0.0,0.0
2017-02-27,,,,,0.47,53.87,0.0,0.0
2017-02-28,,,,,0.64,54.51,0.0,0.0
2017-03-01,,,,,0.12,54.39,0.0,0.0
2017-03-02,,,,,0.26,54.13,0.0,0.0
2017-03-03,,,,,0.27,54.4,0.0,0.0
2017-03-06,,,,,0.07,54.47,0.0,0.0
2017-03-07,,,,,0.06,54.41,0.0,0.0
2017-03-08,,,,,1.51,52.9,0.0,0.0
2017-03-09,,,,,0.59,52.31,0.0,0.0
2017-03-10,,,,,0.69,51.62,0.0,0.0
2017-03-13,,,,,0.22,51.84,0.0,0.0
2017-03-14,,,,,0.16,51.68,0.0,0.0
2017-03-15,,,,,0.07,51.75,0.0,0.0
2017-03-16,,,,,0.22,51.53,0.0,0.0
2017-03-17,,,,,0.06,51.47,0.0,0.0
2017-03-20,,,,,0.12,51.35,0.0,0.0
2017-03-21,,,,,,51.35,0.0,0.0
2017-03-22,,,,,0.25,51.6,0.0,0.0
2017-03-23,,,,,0.25,51.35,0.0,0.0
2017-03-24,,,,,0.14,51.49,0.0,0.0
2017-03-27,,,,,0.26,51.75,0.0,0.0
2017-03-28,,,,,0.29,51.46,0.0,0.0
2017-03-29,,,,,0.09,51.55,0.0,0.0
2017-03-30,,,,,0.61,52.16,0.0,0.0
2017-03-31,,,,,0.36,52.52,0.0,0.0
2017-04-03,,,,,0.39,52.91,0.0,0.0
2017-04-04,,,,,0.35,53.26,0.0,0.0
2017-04-05,,,,,0.12,53.14,0.0,0.0
2017-04-06,,,,,0.25,53.39,0.0,0.0
2017-04-07,,,,,0.29,53.68,0.0,0.0
2017-04-10,,,,,0.61,54.29,0.0,0.0
2017-04-11,,,,,0.32,54.61,0.0,0.0
2017-04-12,,,,,0.28,54.89,0.0,0.0
2017-04-13,,,,,0.05,54.84,0.0,0.0
2017-04-17,,,,,0.2,54.64,0.0,0.0
2017-04-18,,,,,0.25,54.39,0.0,0.0
2017-04-19,,,,,1.16,53.23,0.0,0.0
2017-04-20,,,,,0.22,53.01,0.0,0.0
2017-04-21,,,,,0.11,52.9,0.0,0.0
2017-04-24,,,,,0.42,52.48,0.0,0.0
2017-04-25,,,,,0.15,52.33,0.0,0.0
2017-04-26,,,,,0.02,52.31,0.0,0.0
2017-04-27,,,,,0.72,51.59,0.0,0.0
2017-04-28,,,,,0.16,51.75,0.0,0.0
2017-05-01,,,,,0.38,51.37,0.0,0.0
2017-05-02,,,,,0.78,50.59,0.0,0.0
2017-05-03,,,,,0.41,51.0,0.0,0.0
2017-05-04,,,,,0.94,50.06,0.0,0.0
2017-05-05,,,,,1.34,51.4,0.0,0.0
2017-05-08,,,,,0.24,51.64,0.0,0.0
2017-05-09,,,,,0.39,51.25,0.0,0.0
2017-05-10,,,,,0.59,51.84,0.0,0.0
2017-05-11,,,,,0.16,52.0,0.0,0.0
2017-05-12,,,,,0.44,51.56,0.0,0.0
2017-05-15,,,,,0.05,51.51,0.0,0.0
2017-05-16,,,,,0.19,51.7,0.0,0.0
2017-05-17,,,,,0.08,51.78,0.0,0.0
2017-05-18,,,,,0.18,51.96,0.0,0.0
2017-05-19,,,,,0.62,52.58,0.0,0.0
2017-05-22,,,,,0.07,52.65,0.0,0.0
2017-05-23,,,,,0.01,52.64,0.0,0.0
2017-05-24,,,,,0.59,52.05,0.0,0.0
2017-05-25,,,,,1.12,50.93,0.0,0.0
2017-05-26,,,,,0.62,51.55,0.0,0.0
2017-05-30,,,,,0.17,51.72,0.0,0.0
2017-05-31,,,,,1.02,50.7,0.0,0.0
2017-06-01,,,,,0.01,50.71,0.0,0.0
2017-06-02,,,,,0.19,50.52,0.0,0.0
2017-06-05,,,,,0.01,50.53,0.0,0.0
2017-06-06,,,,,0.05,50.48,0.0,0.0
2017-06-07,,,,,0.69,49.79,0.0,0.0
2017-06-08,,,,,0.79,50.58,0.0,0.0
2017-06-09,,,,,0.12,50.7,0.0,0.0
2017-06-12,,,,,0.16,50.86,0.0,0.0
2017-06-13,,,,,0.19,51.05,0.0,0.0
2017-06-14,,,,,0.51,50.54,0.0,0.0
2017-06-15,,,,,0.74,51.28,0.0,0.0
2017-06-16,,,,,0.05,51.33,0.0,0.0
2017-06-19,,,,,0.24,51.09,0.0,0.0
2017-06-20,,,,,,51.09,0.0,0.0
2017-06-21,,,,,0.24,50.85,0.0,0.0
2017-06-22,,,,,0.02,50.83,0.0,0.0
2017-06-23,,,,,0.23,50.6,0.0,0.0
2017-06-26,,,,,,50.6,0.0,0.0
2017-06-27,,,,,0.55,51.15,0.0,0.0
2017-06-28,,,,,0.08,51.23,0.0,0.0
2017-06-29,,,,,0.34,51.57,0.0,0.0
2017-06-30,,,,,0.92,52.49,0.0,0.0
2017-07-03,,,,,0.93,53.42,0.0,0.0
2017-07-05,,,,,1.27,52.15,0.0,0.0
2017-07-06,,,,,,52.15,0.0,0.0
2017-07-07,,,,,0.8,51.35,0.0,0.0
2017-07-10,,,,,0.87,52.22,0.0,0.0
2017-07-11,,,,,0.72,52.94,0.0,0.0
2017-07-12,,,,,0.18,52.76,0.0,0.0
2017-07-13,,,,,0.35,53.11,0.0,0.0
2017-07-14,,,,,0.38,53.49,0.0,0.0
2017-07-17,,,,,0.26,53.23,0.0,0.0
2017-07-18,,,,,0.32,52.91,0.0,0.0
2017-07-19,,,,,0.04,52.95,0.0,0.0
2017-07-20,,,,,0.44,52.51,0.0,0.0
2017-07-21,,,,,0.76,51.75,0.0,0.0
2017-07-24,,,,,0.5,52.25,0.0,0.0
2017-07-25,,,,,0.63,52.88,0.0,0.0
2017-07-26,,,,,0.05,52.83,0.0,0.0
2017-07-27,,,,,0.33,52.5,0.0,0.0
2017-07-28,,,,,0.04,52.54,0.0,0.0
2017-07-31,,,,,0.38,52.92,0.0,0.0
2017-08-01,,,,,0.66,52.26,0.0,0.0
2017-08-02,,,,,0.18,52.44,0.0,0.0
2017-08-03,,,,,0.41,52.03,0.0,0.0
2017-08-04,,,,,0.36,52.39,0.0,0.0
2017-08-07,,,,,0.13,52.26,0.0,0.0
2017-08-08,,,,,0.4,51.86,0.0,0.0
2017-08-09,,,,,0.16,51.7,0.0,0.0
2017-08-10,,,,,1.11,50.59,0.0,0.0
2017-08-11,,,,,0.14,50.45,0.0,0.0
2017-08-14,,,,,0.33,50.12,0.0,0.0
2017-08-15,,,,,0.1,50.22,0.0,0.0
