Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-20,0.0,0.0,0.0,,,80.12,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,79.68,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,79.72,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,80.12,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.28,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,80.12,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,80.45,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,80.56,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,80.4,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.25,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,79.71,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,79.94,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,80.05,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,79.89,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.3,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,80.04,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,79.01,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.36,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,79.44,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,78.79,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.37,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,78.11,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,78.11,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,78.04,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.22,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.35,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.28,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,78.04,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.19,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,76.93,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,76.98,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,76.06,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,75.58,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,75.87,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,75.86,0.0,0.0
2014-01-13,0.0,0.0,0.0,,,75.78,0.0,0.0
2014-01-14,0.0,0.0,0.0,,,76.61,0.0,0.0
2014-01-15,0.0,0.0,0.0,,,76.99,0.0,0.0
2014-01-16,0.0,0.0,0.0,,,76.03,0.0,0.0
2014-01-17,0.0,0.0,0.0,,,75.96,0.0,0.0
2014-01-21,0.0,0.0,0.0,,,75.88,0.0,0.0
2014-01-22,0.0,0.0,0.0,,,75.74,0.0,0.0
2014-01-23,0.0,0.0,0.0,,,75.54,0.0,0.0
2014-01-24,0.0,0.0,0.0,,,75.92,0.0,0.0
2014-01-27,0.0,0.0,0.0,,,75.83,0.0,0.0
2014-01-28,0.0,0.0,0.0,,,76.06,0.0,0.0
2014-01-29,0.0,0.0,0.0,,,75.65,0.0,0.0
2014-01-30,0.0,0.0,0.0,,,75.44,0.0,0.0
2014-01-31,0.0,0.0,0.0,,,74.9,0.0,0.0
