Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-01-22,,,,,0.0,53.81,0.0,0.0
2018-01-23,,,,,0.22,54.03,0.0,0.0
2018-01-24,,,,,0.54,53.49,0.0,0.0
2018-01-25,,,,,0.18,53.67,0.0,0.0
2018-01-26,,,,,0.11,53.56,0.0,0.0
2018-01-29,,,,,0.37,53.19,0.0,0.0
2018-01-30,,,,,0.62,52.57,0.0,0.0
2018-01-31,,,,,0.19,52.38,0.0,0.0
2018-02-01,,,,,0.01,52.37,0.0,0.0
2018-02-02,,,,,0.96,51.41,0.0,0.0
2018-02-05,,,,,0.34,51.07,0.0,0.0
2018-02-06,,,,,0.25,50.82,0.0,0.0
2018-02-07,,,,,0.69,50.13,0.0,0.0
2018-02-08,,,,,0.03,50.16,0.0,0.0
2018-02-09,,,,,0.54,49.62,0.0,0.0
2018-02-12,,,,,0.23,49.85,0.0,0.0
2018-02-13,,,,,0.69,50.54,0.0,0.0
2018-02-14,,,,,0.01,50.53,0.0,0.0
2018-02-15,,,,,0.06,50.47,0.0,0.0
2018-02-16,,,,,0.29,50.76,0.0,0.0
2018-02-20,,,,,0.6,51.36,0.0,0.0
2018-02-21,,,,,0.04,51.4,0.0,0.0
2018-02-22,,,,,0.14,51.54,0.0,0.0
2018-02-23,,,,,0.79,52.33,0.0,0.0
2018-02-26,,,,,0.61,52.94,0.0,0.0
2018-02-27,,,,,0.39,52.55,0.0,0.0
2018-02-28,,,,,1.54,51.01,0.0,0.0
2018-03-01,,,,,0.31,50.7,0.0,0.0
2018-03-02,,,,,0.03,50.73,0.0,0.0
2018-03-05,,,,,0.73,51.46,0.0,0.0
2018-03-06,,,,,0.07,51.53,0.0,0.0
2018-03-07,,,,,0.6,50.93,0.0,0.0
2018-03-08,,,,,0.01,50.94,0.0,0.0
2018-03-09,,,,,0.97,51.91,0.0,0.0
2018-03-12,,,,,0.1,51.81,0.0,0.0
2018-03-13,,,,,0.11,51.7,0.0,0.0
2018-03-14,,,,,0.14,51.84,0.0,0.0
2018-03-15,,,,,0.21,51.63,0.0,0.0
2018-03-16,,,,,0.02,51.61,0.0,0.0
2018-03-19,,,,,0.41,51.2,0.0,0.0
2018-03-20,,,,,0.16,51.36,0.0,0.0
2018-03-21,,,,,0.71,52.07,0.0,0.0
2018-03-22,,,,,0.41,51.66,0.0,0.0
2018-03-23,,,,,0.41,52.07,0.0,0.0
2018-03-26,,,,,0.19,51.88,0.0,0.0
2018-03-27,,,,,,51.88,0.0,0.0
2018-03-28,,,,,0.02,51.86,0.0,0.0
2018-03-29,,,,,0.22,51.64,0.0,0.0
2018-04-02,,,,,0.94,50.7,0.0,0.0
2018-04-03,,,,,0.38,51.08,0.0,0.0
2018-04-04,,,,,0.03,51.05,0.0,0.0
2018-04-05,,,,,0.15,51.2,0.0,0.0
2018-04-06,,,,,0.7,50.5,0.0,0.0
2018-04-09,,,,,0.15,50.65,0.0,0.0
2018-04-10,,,,,0.29,50.94,0.0,0.0
2018-04-11,,,,,0.3,51.24,0.0,0.0
2018-04-12,,,,,0.33,50.91,0.0,0.0
2018-04-13,,,,,0.07,50.84,0.0,0.0
2018-04-16,,,,,0.03,50.81,0.0,0.0
2018-04-17,,,,,0.05,50.76,0.0,0.0
2018-04-18,,,,,0.09,50.67,0.0,0.0
2018-04-19,,,,,0.18,50.85,0.0,0.0
2018-04-20,,,,,0.03,50.82,0.0,0.0
2018-04-23,,,,,0.33,51.15,0.0,0.0
2018-04-24,,,,,0.44,50.71,0.0,0.0
2018-04-25,,,,,,50.71,0.0,0.0
2018-04-26,,,,,0.03,50.74,0.0,0.0
2018-04-27,,,,,0.34,50.4,0.0,0.0
2018-04-30,,,,,0.16,50.56,0.0,0.0
2018-05-01,,,,,0.29,50.27,0.0,0.0
2018-05-02,,,,,0.05,50.22,0.0,0.0
2018-05-03,,,,,0.45,50.67,0.0,0.0
2018-05-04,,,,,0.67,51.34,0.0,0.0
2018-05-07,,,,,0.33,51.67,0.0,0.0
2018-05-08,,,,,0.46,51.21,0.0,0.0
2018-05-09,,,,,0.92,52.13,0.0,0.0
2018-05-10,,,,,0.35,52.48,0.0,0.0
2018-05-11,,,,,0.19,52.67,0.0,0.0
2018-05-14,,,,,0.33,53.0,0.0,0.0
2018-05-15,,,,,0.47,53.47,0.0,0.0
2018-05-16,,,,,0.08,53.39,0.0,0.0
