Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-11-22,,,,,0.0,57.26,0.0,0.0
2016-11-23,,,,,0.27,56.99,0.0,0.0
2016-11-25,,,,,1.34,55.65,0.0,0.0
2016-11-28,,,,,0.54,56.19,0.0,0.0
2016-11-29,,,,,1.34,54.85,0.0,0.0
2016-11-30,,,,,1.79,56.64,0.0,0.0
2016-12-01,,,,,0.23,56.41,0.0,0.0
2016-12-02,,,,,0.67,57.08,0.0,0.0
2016-12-05,,,,,0.15,57.23,0.0,0.0
2016-12-06,,,,,0.51,56.72,0.0,0.0
2016-12-07,,,,,0.47,56.25,0.0,0.0
2016-12-08,,,,,0.08,56.33,0.0,0.0
2016-12-09,,,,,0.3,56.63,0.0,0.0
2016-12-12,,,,,0.42,56.21,0.0,0.0
2016-12-13,,,,,0.06,56.27,0.0,0.0
2016-12-14,,,,,0.85,55.42,0.0,0.0
2016-12-15,,,,,0.29,55.13,0.0,0.0
2016-12-16,,,,,0.4,55.53,0.0,0.0
2016-12-19,,,,,0.18,55.71,0.0,0.0
2016-12-20,,,,,0.54,56.25,0.0,0.0
2016-12-21,,,,,0.81,55.44,0.0,0.0
2016-12-22,,,,,0.01,55.45,0.0,0.0
2016-12-23,,,,,0.27,55.72,0.0,0.0
2016-12-27,,,,,0.49,56.21,0.0,0.0
2016-12-28,,,,,0.16,56.37,0.0,0.0
2016-12-29,,,,,0.15,56.52,0.0,0.0
2016-12-30,,,,,0.07,56.59,0.0,0.0
2017-01-03,,,,,0.88,55.71,0.0,0.0
2017-01-04,,,,,1.15,56.86,0.0,0.0
2017-01-05,,,,,0.57,57.43,0.0,0.0
2017-01-06,,,,,0.14,57.57,0.0,0.0
2017-01-09,,,,,1.09,56.48,0.0,0.0
2017-01-10,,,,,0.37,56.11,0.0,0.0
2017-01-11,,,,,0.84,56.95,0.0,0.0
2017-01-12,,,,,0.35,57.3,0.0,0.0
2017-01-13,,,,,0.46,56.84,0.0,0.0
2017-01-17,,,,,0.38,56.46,0.0,0.0
2017-01-18,,,,,0.53,55.93,0.0,0.0
2017-01-19,,,,,0.2,56.13,0.0,0.0
2017-01-20,,,,,0.77,56.9,0.0,0.0
2017-01-23,,,,,0.37,56.53,0.0,0.0
2017-01-24,,,,,0.23,56.76,0.0,0.0
2017-01-25,,,,,0.27,56.49,0.0,0.0
2017-01-26,,,,,0.33,56.82,0.0,0.0
2017-01-27,,,,,0.64,56.18,0.0,0.0
2017-01-30,,,,,0.12,56.06,0.0,0.0
2017-01-31,,,,,0.18,56.24,0.0,0.0
2017-02-01,,,,,0.72,56.96,0.0,0.0
2017-02-02,,,,,0.24,56.72,0.0,0.0
2017-02-03,,,,,0.33,57.05,0.0,0.0
2017-02-06,,,,,0.27,56.78,0.0,0.0
2017-02-07,,,,,0.62,56.16,0.0,0.0
2017-02-08,,,,,0.08,56.08,0.0,0.0
2017-02-09,,,,,0.04,56.12,0.0,0.0
2017-02-10,,,,,0.1,56.22,0.0,0.0
2017-02-13,,,,,0.54,55.68,0.0,0.0
2017-02-14,,,,,0.08,55.6,0.0,0.0
2017-02-15,,,,,0.5,55.1,0.0,0.0
2017-02-16,,,,,0.11,54.99,0.0,0.0
2017-02-17,,,,,0.23,54.76,0.0,0.0
2017-02-21,,,,,0.72,54.04,0.0,0.0
2017-02-22,,,,,0.44,53.6,0.0,0.0
2017-02-23,,,,,0.48,54.08,0.0,0.0
2017-02-24,,,,,0.22,53.86,0.0,0.0
2017-02-27,,,,,0.47,54.33,0.0,0.0
2017-02-28,,,,,0.67,55.0,0.0,0.0
2017-03-01,,,,,0.09,54.91,0.0,0.0
2017-03-02,,,,,0.22,54.69,0.0,0.0
2017-03-03,,,,,0.27,54.96,0.0,0.0
2017-03-06,,,,,0.07,55.03,0.0,0.0
2017-03-07,,,,,0.06,54.97,0.0,0.0
2017-03-08,,,,,1.49,53.48,0.0,0.0
2017-03-09,,,,,0.59,52.89,0.0,0.0
2017-03-10,,,,,0.69,52.2,0.0,0.0
2017-03-13,,,,,0.22,52.42,0.0,0.0
2017-03-14,,,,,0.07,52.35,0.0,0.0
2017-03-15,,,,,0.07,52.42,0.0,0.0
2017-03-16,,,,,0.22,52.2,0.0,0.0
2017-03-17,,,,,0.06,52.14,0.0,0.0
2017-03-20,,,,,0.12,52.02,0.0,0.0
2017-03-21,,,,,,52.02,0.0,0.0
2017-03-22,,,,,0.27,52.29,0.0,0.0
2017-03-23,,,,,0.25,52.04,0.0,0.0
2017-03-24,,,,,0.14,52.18,0.0,0.0
2017-03-27,,,,,0.26,52.44,0.0,0.0
2017-03-28,,,,,0.29,52.15,0.0,0.0
2017-03-29,,,,,0.09,52.24,0.0,0.0
2017-03-30,,,,,0.61,52.85,0.0,0.0
2017-03-31,,,,,0.4,53.25,0.0,0.0
2017-04-03,,,,,0.39,53.64,0.0,0.0
2017-04-04,,,,,0.35,53.99,0.0,0.0
2017-04-05,,,,,0.12,53.87,0.0,0.0
2017-04-06,,,,,0.25,54.12,0.0,0.0
2017-04-07,,,,,0.29,54.41,0.0,0.0
2017-04-10,,,,,0.6,55.01,0.0,0.0
2017-04-11,,,,,0.32,55.33,0.0,0.0
2017-04-12,,,,,0.28,55.61,0.0,0.0
2017-04-13,,,,,0.09,55.52,0.0,0.0
2017-04-17,,,,,0.2,55.32,0.0,0.0
2017-04-18,,,,,0.25,55.07,0.0,0.0
2017-04-19,,,,,1.13,53.94,0.0,0.0
2017-04-20,,,,,0.22,53.72,0.0,0.0
2017-04-21,,,,,0.07,53.65,0.0,0.0
2017-04-24,,,,,0.42,53.23,0.0,0.0
2017-04-25,,,,,0.15,53.08,0.0,0.0
2017-04-26,,,,,0.02,53.06,0.0,0.0
2017-04-27,,,,,0.72,52.34,0.0,0.0
2017-04-28,,,,,0.2,52.54,0.0,0.0
2017-05-01,,,,,0.38,52.16,0.0,0.0
2017-05-02,,,,,0.72,51.44,0.0,0.0
2017-05-03,,,,,0.42,51.86,0.0,0.0
2017-05-04,,,,,0.89,50.97,0.0,0.0
2017-05-05,,,,,1.39,52.36,0.0,0.0
2017-05-08,,,,,0.23,52.59,0.0,0.0
2017-05-09,,,,,0.39,52.2,0.0,0.0
2017-05-10,,,,,0.52,52.72,0.0,0.0
2017-05-11,,,,,0.16,52.88,0.0,0.0
2017-05-12,,,,,0.44,52.44,0.0,0.0
2017-05-15,,,,,0.05,52.39,0.0,0.0
2017-05-16,,,,,0.19,52.58,0.0,0.0
2017-05-17,,,,,0.06,52.64,0.0,0.0
2017-05-18,,,,,0.18,52.82,0.0,0.0
2017-05-19,,,,,0.61,53.43,0.0,0.0
2017-05-22,,,,,0.07,53.5,0.0,0.0
2017-05-23,,,,,0.01,53.49,0.0,0.0
2017-05-24,,,,,0.59,52.9,0.0,0.0
2017-05-25,,,,,1.12,51.78,0.0,0.0
2017-05-26,,,,,0.61,52.39,0.0,0.0
