Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-01-17,,,,,0.0,65.85,20.0,0.0
2017-01-18,,,,,1.45,64.4,0.0,20.0
2017-01-19,,,,,1.05,63.35,0.0,20.0
2017-01-20,,,,,0.95,64.3,0.0,20.0
2017-01-23,,,,,1.75,66.05,0.0,20.0
2017-01-24,,,,,1.55,64.5,0.0,20.0
2017-01-25,,,,,2.1,62.4,0.0,20.0
2017-01-26,,,,,0.5,61.9,0.0,20.0
2017-01-27,,,,,0.95,60.95,0.0,20.0
2017-01-30,,,,,1.1,62.05,0.0,20.0
2017-01-31,,,,,1.35,63.4,0.0,20.0
2017-02-01,,,,,,63.4,0.0,20.0
2017-02-02,,,,,1.15,64.55,5.0,20.0
2017-02-03,,,,,1.6,62.95,0.0,25.0
2017-02-06,,,,,0.5,62.45,0.0,25.0
2017-02-07,,,,,0.75,63.2,10.0,25.0
2017-02-08,,,,,0.5,62.7,0.0,35.0
2017-02-09,,,,,0.2,62.9,5.0,35.0
2017-02-10,,,,,0.65,62.25,0.0,40.0
2017-02-13,,,,,0.95,61.3,0.0,40.0
2017-02-14,,,,,0.7,62.0,0.0,40.0
2017-02-15,,,,,1.0,63.0,5.0,40.0
2017-02-16,,,,,0.25,63.25,0.0,45.0
2017-02-17,,,,,0.3,63.55,15.0,45.0
2017-02-21,,,,,0.85,64.4,5.0,60.0
2017-02-22,,,,,0.3,64.1,0.0,65.0
2017-02-23,,,,,0.7,64.8,0.0,65.0
2017-02-24,,,,,0.4,64.4,0.0,65.0
2017-02-27,,,,,0.7,63.7,0.0,65.0
2017-02-28,,,,,0.75,62.95,0.0,65.0
2017-03-01,,,,,1.5,64.45,0.0,65.0
2017-03-02,,,,,1.0,63.45,0.0,65.0
2017-03-03,,,,,0.5,62.95,0.0,65.0
2017-03-06,,,,,0.15,63.1,0.0,65.0
2017-03-07,,,,,1.85,61.25,0.0,65.0
2017-03-08,,,,,0.45,60.8,0.0,65.0
2017-03-09,,,,,1.0,59.8,11.0,65.0
2017-03-10,,,,,0.95,60.75,0.0,76.0
2017-03-13,,,,,0.45,61.2,0.0,76.0
2017-03-14,,,,,0.8,60.4,0.0,76.0
2017-03-15,,,,,0.45,60.85,0.0,76.0
2017-03-16,,,,,0.4,60.45,0.0,76.0
2017-03-17,,,,,0.15,60.6,0.0,76.0
2017-03-20,,,,,1.0,59.6,0.0,76.0
2017-03-21,,,,,0.75,58.85,10.0,76.0
2017-03-22,,,,,0.55,58.3,30.0,86.0
2017-03-23,,,,,1.25,59.55,0.0,116.0
2017-03-24,,,,,,59.55,0.0,116.0
2017-03-27,,,,,0.5,59.05,0.0,116.0
2017-03-28,,,,,1.85,60.9,0.0,116.0
2017-03-29,,,,,0.85,61.75,0.0,116.0
2017-03-30,,,,,0.15,61.9,0.0,116.0
2017-03-31,,,,,0.15,61.75,0.0,116.0
2017-04-03,,,,,1.8,63.55,0.0,116.0
2017-04-04,,,,,1.1,62.45,0.0,116.0
2017-04-05,,,,,0.8,63.25,10.0,116.0
2017-04-06,,,,,0.35,63.6,0.0,121.0
2017-04-07,,,,,0.85,62.75,0.0,121.0
2017-04-10,,,,,1.7,61.05,0.0,121.0
2017-04-11,,,,,0.15,61.2,0.0,121.0
2017-04-12,,,,,0.05,61.25,0.0,121.0
2017-04-13,,,,,0.55,61.8,0.0,121.0
2017-04-17,,,,,,61.8,0.0,121.0
2017-04-18,,,,,0.25,62.05,0.0,121.0
2017-04-19,,,,,0.05,62.0,5.0,121.0
2017-04-20,,,,,0.6,62.6,0.0,126.0
2017-04-21,,,,,0.2,62.4,0.0,126.0
2017-04-24,,,,,1.2,61.2,0.0,126.0
2017-04-25,,,,,0.55,60.65,0.0,126.0
2017-04-26,,,,,1.05,61.7,10.0,126.0
2017-04-27,,,,,0.8,62.5,5.0,136.0
2017-04-28,,,,,0.1,62.4,0.0,141.0
2017-05-01,,,,,,62.4,0.0,141.0
2017-05-02,,,,,0.05,62.35,0.0,141.0
2017-05-03,,,,,0.75,61.6,0.0,141.0
2017-05-04,,,,,0.6,61.0,0.0,141.0
2017-05-05,,,,,0.3,61.3,0.0,141.0
2017-05-08,,,,,1.45,59.85,0.0,141.0
2017-05-09,,,,,0.1,59.75,0.0,141.0
2017-05-10,,,,,,59.75,0.0,141.0
2017-05-11,,,,,0.45,59.3,0.0,141.0
2017-05-12,,,,,0.25,59.55,0.0,141.0
2017-05-15,,,,,0.25,59.8,0.0,141.0
2017-05-16,,,,,0.35,60.15,0.0,141.0
2017-05-17,,,,,1.15,61.3,0.0,141.0
2017-05-18,,,,,0.45,60.85,0.0,141.0
2017-05-19,,,,,0.5,61.35,5.0,141.0
2017-05-22,,,,,1.1,62.45,0.0,146.0
2017-05-23,,,,,0.2,62.25,0.0,146.0
2017-05-24,,,,,0.55,61.7,0.0,146.0
2017-05-25,,,,,0.15,61.55,0.0,146.0
2017-05-26,,,,,0.05,61.6,0.0,146.0
2017-05-30,,,,,1.25,62.85,0.0,146.0
2017-05-31,,,,,1.5,61.35,0.0,146.0
2017-06-01,,,,,0.3,61.65,0.0,146.0
2017-06-02,,,,,0.45,62.1,0.0,146.0
2017-06-05,,,,,0.85,62.95,0.0,146.0
2017-06-06,,,,,0.5,62.45,0.0,146.0
2017-06-07,,,,,0.25,62.2,0.0,146.0
2017-06-08,,,,,0.95,63.15,0.0,146.0
2017-06-09,,,,,0.45,62.7,0.0,146.0
2017-06-12,,,,,0.45,62.25,0.0,146.0
2017-06-13,,,,,0.25,62.5,0.0,146.0
2017-06-14,,,,,0.2,62.7,5.0,146.0
2017-06-15,,,,,0.15,62.85,0.0,151.0
2017-06-16,,,,,,62.85,0.0,151.0
2017-06-19,,,,,0.9,63.75,0.0,151.0
2017-06-20,,,,,0.15,63.6,0.0,151.0
2017-06-21,,,,,0.25,63.35,0.0,151.0
2017-06-22,,,,,0.3,63.05,20.0,151.0
2017-06-23,,,,,0.35,62.7,0.0,161.0
2017-06-26,,,,,,62.7,0.0,161.0
2017-06-27,,,,,0.9,63.6,0.0,161.0
2017-06-28,,,,,0.25,63.85,5.0,161.0
