Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-10-03,,,,,0.0,81.85,5.0,0.0
2014-10-06,,,,,0.15,82.0,0.0,5.0
2014-10-07,,,,,0.05,82.05,0.0,5.0
2014-10-08,,,,,,82.05,0.0,5.0
2014-10-09,,,,,0.6,81.45,0.0,5.0
2014-10-10,,,,,0.55,80.9,0.0,5.0
2014-10-13,,,,,0.55,80.35,0.0,5.0
2014-10-14,,,,,,0.0,0.0,5.0
2014-10-15,,,,,,0.0,0.0,5.0
2014-10-16,,,,,0.9,79.45,0.0,5.0
2014-10-17,,,,,0.1,79.35,0.0,5.0
2014-10-20,,,,,0.25,79.1,0.0,5.0
2014-10-21,,,,,0.2,79.3,0.0,5.0
2014-10-22,,,,,1.05,80.35,0.0,5.0
2014-10-23,,,,,0.6,79.75,0.0,5.0
2014-10-24,,,,,0.05,79.8,0.0,5.0
2014-10-27,,,,,,79.8,0.0,5.0
2014-10-28,,,,,0.15,79.65,0.0,5.0
2014-10-29,,,,,0.2,79.85,0.0,5.0
2014-10-30,,,,,0.15,79.7,0.0,5.0
2014-10-31,,,,,0.15,79.55,0.0,5.0
2014-11-03,,,,,0.5,79.05,0.0,5.0
2014-11-04,,,,,0.95,78.1,5.0,5.0
2014-11-05,,,,,0.2,77.9,0.0,10.0
2014-11-06,,,,,1.0,76.9,0.0,10.0
2014-11-07,,,,,0.6,77.5,0.0,10.0
2014-11-10,,,,,0.2,77.7,0.0,10.0
2014-11-11,,,,,0.4,77.3,0.0,10.0
2014-11-12,,,,,,77.3,0.0,10.0
2014-11-13,,,,,0.2,77.1,0.0,10.0
2014-11-14,,,,,0.05,77.15,0.0,10.0
2014-11-17,,,,,0.35,77.5,0.0,10.0
2014-11-18,,,,,0.3,77.8,0.0,10.0
2014-11-19,,,,,0.15,77.95,0.0,10.0
2014-11-20,,,,,,77.95,0.0,10.0
2014-11-21,,,,,0.15,78.1,0.0,10.0
2014-11-24,,,,,0.35,78.45,0.0,10.0
2014-11-25,,,,,0.45,78.9,0.0,10.0
2014-11-26,,,,,,78.9,0.0,10.0
2014-11-28,,,,,0.25,78.65,0.0,10.0
2014-12-01,,,,,0.75,77.9,0.0,10.0
2014-12-02,,,,,,77.9,15.0,10.0
2014-12-03,,,,,0.2,78.1,5.0,25.0
2014-12-04,,,,,0.1,78.0,5.0,25.0
2014-12-05,,,,,0.25,78.25,0.0,30.0
2014-12-08,,,,,0.75,77.5,0.0,30.0
2014-12-09,,,,,,77.5,0.0,30.0
2014-12-10,,,,,0.3,77.2,0.0,30.0
2014-12-11,,,,,,77.2,0.0,30.0
2014-12-12,,,,,0.5,76.7,10.0,30.0
2014-12-15,,,,,1.6,75.1,0.0,40.0
2014-12-16,,,,,1.15,73.95,0.0,40.0
2014-12-17,,,,,0.4,73.55,0.0,40.0
2014-12-18,,,,,0.15,73.4,0.0,40.0
2014-12-19,,,,,0.75,72.65,0.0,40.0
2014-12-22,,,,,0.75,71.9,0.0,40.0
2014-12-23,,,,,0.1,71.8,0.0,40.0
2014-12-24,,,,,,71.8,0.0,40.0
2014-12-26,,,,,,71.8,0.0,40.0
2014-12-29,,,,,0.6,71.2,0.0,40.0
2014-12-31,,,,,0.2,70.85,0.0,40.0
2015-01-02,,,,,1.5,69.35,0.0,40.0
2015-01-05,,,,,2.25,67.1,0.0,40.0
2015-01-06,,,,,1.35,65.75,5.0,40.0
2015-01-07,,,,,0.1,65.85,5.0,45.0
2015-01-08,,,,,0.55,66.4,0.0,50.0
2015-01-09,,,,,0.25,66.65,0.0,50.0
2015-01-12,,,,,1.15,65.5,0.0,50.0
2015-01-13,,,,,1.6,67.1,0.0,50.0
2015-01-14,,,,,0.7,66.4,0.0,50.0
2015-01-15,,,,,0.9,65.5,10.0,50.0
2015-01-16,,,,,0.9,64.6,10.0,50.0
2015-01-20,,,,,0.3,64.9,0.0,45.0
2015-01-21,,,,,0.75,65.65,0.0,45.0
2015-01-22,,,,,0.65,65.0,0.0,45.0
2015-01-23,,,,,0.8,64.2,5.0,45.0
2015-01-26,,,,,0.5,64.7,5.0,50.0
2015-01-27,,,,,0.2,64.9,0.0,55.0
2015-01-29,,,,,0.65,65.25,0.0,60.0
2015-01-30,,,,,0.25,65.0,0.0,60.0
2015-02-02,,,,,0.75,65.75,0.0,60.0
2015-02-03,,,,,1.05,66.8,10.0,60.0
